13;1;;CD;0;;;;;;
14;1;Xmas Vocal;CD;0;;Xmas Vocal;Xmas Vocal;Xmas Vocal;XmasVocal;
15;1;Rap/Hip Hop;CD;0;;Rap/Hip Hop;Rap/Hip Hop;Rap/Hip Hop;RapHipHop;
16;1;Soul/R & B;CD;0;;Soul/R & B;Soul/R & B;Soul/R & B;SoulRB;
17;1;Latin Pop/Rock;CD;0;;Latin Pop/Rock;Latin Pop/Rock;Latin Pop/Rock;LatinPopRock;
18;1;Heavy Metal;CD;0;;Heavy Metal;Heavy Metal;Heavy Metal;HeavyMetal;
19;1;Jazz Vocals;CD;0;;Jazz Vocals;Jazz Vocals;Jazz Vocals;JazzVocals;
20;1;International;CD;0;;International;International;International;International;
21;1;Comedy;CD;0;;Comedy;Comedy;Comedy;Comedy;
22;1;Reggae;CD;0;;Reggae;Reggae;Reggae;Reggae;
23;1;Christian;CD;0;;Christian;Christian;Christian;Christian;
24;1;Experimental (Noise);CD;0;;Experimental (Noise);Experimental (Noise);Experimental (Noise);Experimental(Noise);
25;1;Oldies;CD;0;;Oldies;Oldies;Oldies;Oldies;
26;1;Indie Rock/Pop;CD;0;;Indie Rock/Pop;Indie Rock/Pop;Indie Rock/Pop;IndieRockPop;
27;1;Jazz;CD;0;;Jazz;Jazz;Jazz;Jazz;
28;1;K-Pop;CD;0;;K-Pop;K-Pop;K-Pop;KPop;
29;1;Soundtrack;CD;0;;Soundtrack;Soundtrack;Soundtrack;Soundtrack;
30;1;Karaoke;CD;0;;Karaoke;Karaoke;Karaoke;Karaoke;
31;1;Urban;CD;0;;Urban;Urban;Urban;Urban;
32;1;Country;CD;0;;Country;Country;Country;Country;
33;1;Punk;CD;0;;Punk;Punk;Punk;Punk;
34;1;Vocal;CD;0;;Vocal;Vocal;Vocal;Vocal;
35;1;Children's;CD;0;;Children's;Children's;Children's;Children's;
36;1;Rock;CD;0;;Rock;Rock;Rock;Rock;
37;1;Gospel;CD;0;;Gospel;Gospel;Gospel;Gospel;
38;1;Industrial/Gothic;CD;0;;Industrial/Gothic;Industrial/Gothic;Industrial/Gothic;IndustrialGothic;
39;1;Alternative Rock;CD;0;;Alternative Rock;Alternative Rock;Alternative Rock;AlternativeRock;
40;1;Tropical;CD;0;;Tropical;Tropical;Tropical;Tropical;
41;1;Dance;CD;0;;Dance;Dance;Dance;Dance;
42;1;Musical Soundtrack;CD;0;;Musical Soundtrack;Musical Soundtrack;Musical Soundtrack;MusicalSoundtrack;
43;1;Jazz Traditional;CD;0;;Jazz Traditional;Jazz Traditional;Jazz Traditional;JazzTraditional;
44;1;Pop;CD;0;;Pop;Pop;Pop;Pop;
45;1;Easy Listening;CD;0;;Easy Listening;Easy Listening;Easy Listening;EasyListening;
46;1;New Age;CD;0;;New Age;New Age;New Age;NewAge;
47;1;Big Band;CD;0;;Big Band;Big Band;Big Band;BigBand;
48;1;Psychedelic/Garage;CD;0;;Psychedelic/Garage;Psychedelic/Garage;Psychedelic/Garage;PsychedelicGarage;
49;1;Ambient;CD;0;;Ambient;Ambient;Ambient;Ambient;
50;1;Blues;CD;0;;Blues;Blues;Blues;Blues;
51;1;Electronic;CD;0;;Electronic;Electronic;Electronic;Electronic;
52;1;Southern Rock;CD;0;;Southern Rock;Southern Rock;Southern Rock;SouthernRock;
53;1;Folk;CD;0;;Folk;Folk;Folk;Folk;
